"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,5599.10414333707,12653.9753639418,22843.3893243748,34841.0196038225,49769.8146074406,27192.6595703286
"2",2005,5167.08154933785,12750.3969943479,22474.0197152245,35079.6336862602,51182.843373494,27522.8444972281
"3",2006,5369.94968745236,12576.2895766631,23263.8153681964,37040.0102403624,53744.7145338642,28579.0971094811
"4",2007,4495.15905947441,12149.9819592279,23502.0709839953,39637.8060165975,58598.3761791033,29557.5948066216
"5",2008,5039.02727925341,11419.7019580662,23421.0145967935,38330.3260078466,55578.4406882899,28884.753973643
"6",2009,4759.78483151063,11182.3959954255,23246.0349920473,38430.6553705327,55489.4399000227,28039.1149977797
"7",2010,3626.03229256591,10143.2627338877,22130.9771309771,36526.2746262746,56402.5926029131,27735.9733915075
"8",2011,3595.55335268711,9084.06570841889,21088.295687885,37073.6995208761,55959.2292637644,26850.4724376129
"9",2012,3635.15596890499,9677.41935483871,21395.8380994429,36503.0649766748,54999.8975844773,26352.6817648181
"10",2013,3169.3454037153,9668.13483930051,21750.3309929789,37642.0833930363,57607.2952189903,27644.5083986898
"11",2014,3840.83333333333,10040.4,22222.2222222222,38587.0783362398,58899.7117772005,28443.8029712202
"12",2015,4136.12073993361,11377.465,23898.468,40239.42,59027.6085714286,29654.1393954411
"13",2016,4961.12750254846,11924.8830995324,24572.3405143621,40593.5890227149,59337.4014696059,30695.2688665993
